fight_id,bonus_type
b56d1822b9f9a35f,Submission of the Night
aef44145740741b3,Performance of the Night
3c60884853766487,Performance of the Night
371ed8497799998e,Performance of the Night
f70c817388602681,Performance of the Night
ec0a1c09d1b113b8,Performance of the Night
e36a5d4d53b97d4e,Performance of the Night
65270a16c25b59ad,Fight of the Night
d45d9c7d60f332da,Fight of the Night
0599f35e6679de02,Fight of the Night
2a5484a6d5e7a2da,Performance of the Night
3b536afcc9098925,Performance of the Night
db1c5b5a710fbdb0,Submission of the Night
54a15700ab185420,Performance of the Night
82d057278298846f,Performance of the Night
b7c7707ccea492c7,Performance of the Night
3905e5dc489811d6,Performance of the Night
8422c70a72eb9291,Knockout of the Night
3e50773520e7a218,Fight of the Night
618b581f14a37e06,Performance of the Night
1fa175b6a35e95e2,Knockout of the Night
12eec1df1fd078a2,Performance of the Night
9676a4e9362e4bfd,Performance of the Night
fbedeb4e4b019b94,Performance of the Night
0170db5fad04e4d0,Fight of the Night
82338ba457fbe87f,Performance of the Night
8f40ac90544d0003,Performance of the Night
2dfa31667cee74c3,Performance of the Night
553a788a44b8e794,Performance of the Night
41cef92a01e7ff3c,Fight of the Night
b43c83505edcd8fa,Fight of the Night
140937779a2466a7,Performance of the Night
692ceb2ac5fa4427,Performance of the Night
f115a91066a77ee7,Performance of the Night
c00a8682fb5b71bd,Performance of the Night
e915c1987050eac8,Knockout of the Night
f594fc5c2bc6237e,Performance of the Night
636b01ee49925e49,Performance of the Night
ef4484943b1c68a9,Performance of the Night
2208b9f471a201d9,Performance of the Night
6e559181bfbc77e1,Fight of the Night
c3ef3cb03edde8bb,Fight of the Night
138cb102906573f2,Performance of the Night
4f99b4a39925cb47,Fight of the Night
519dcb290e6db845,Performance of the Night
c36cd04f8f560f0a,Performance of the Night
d1d7400c131ed40e,Performance of the Night
1b23096378482313,Performance of the Night
bf8c5effd23f69c4,Performance of the Night
024beecfd3f0ed7a,Performance of the Night
947ea1122c04ba18,Performance of the Night
f5fb8b182020c59d,Performance of the Night
cd9851b8eadb53a9,Performance of the Night
0e6782b758451063,Fight of the Night
fe2acfdaaaec3dba,Fight of the Night
9c1a2ac64c98d2f6,Performance of the Night
d3c0dfa57950aefd,Performance of the Night
8a8fea2c10512434,Performance of the Night
208c5dc52ccfd47a,Fight of the Night
a24121c70f773fe2,Submission of the Night
504b540805598fa5,Submission of the Night
cc73c73e6e3412d4,Performance of the Night
60162c95d921d1ae,Performance of the Night
7dcd5d8a44a284e5,Performance of the Night
85b5d59f8eea976a,Performance of the Night
16369fa06392f6a0,Performance of the Night
73c70a628f0ef14b,Performance of the Night
b2cdb4c34f37ad37,Fight of the Night
dd552b389152636a,Performance of the Night
1f5178fe56c5423f,Fight of the Night
4f36bc6fe119c4ac,Submission of the Night
92030ef8b5796b0a,Submission of the Night
38ea5a7a5b4932cb,Submission of the Night
11e7f12ecb2d1597,Fight of the Night
11e7f12ecb2d1597,Knockout of the Night
