event_id,fight_id,weight_class,title_fight,r_id,b_id,winner_id,result_status,method,round,time,time_format,referee,details
dba230fe33011201,e30250daa73005a8,Middleweight,0,49d2a08964c5eb11,4e6738062d469256,49d2a08964c5eb11,win,KO/TKO,1,3:18,3 Rnd (5-5-5),Vitor Ribeiro,Punch to Head At Distance
c6a33ff198aaaeeb,b0958ed411ae9675,Lightweight,0,e5c9de15bb58b1c6,04643fd03d9159cc,e5c9de15bb58b1c6,win,Decision - Split,3,5:00,3 Rnd (5-5-5),Shawn Gregory,Jana Richmond 28 - 29. Nelson Hamilton 29 - 28. Lester Griffin 27 - 30.
c9885b1b7c7055a0,6adfe44b110c1510,Middleweight,0,6b7c7460855dbbb9,285ae0b4a68221f4,285ae0b4a68221f4,win,Submission,2,4:45,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke
ed069a95aaaf4f56,20be16a1db95156c,Bantamweight,0,39330403ad27c2bb,e979c76341f19b22,e979c76341f19b22,win,KO/TKO,2,0:28,3 Rnd (5-5-5),Keith Peterson,Elbows to Head In Clinch
0c01568b1ac77bff,2397e2a92710705a,Women's Bantamweight,0,578ef12674df1e6a,d3f5d33d61cd00c9,d3f5d33d61cd00c9,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30. Sal D'amato 27 - 30. Chris Lee 27 - 30.
93bf96be327fcd98,db3e26d02d790c97,Women's Featherweight,0,d3f5d33d61cd00c9,a7e3f02fe2b2fe30,d3f5d33d61cd00c9,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Doug Crosby 27 - 30. Junichiro Kamijo 27 - 30. Sal D'amato 26 - 30.
6fb1ba67bef41b37,01aa5949ac6851f3,Women's Featherweight,0,351c4ec637380ad5,d3f5d33d61cd00c9,d3f5d33d61cd00c9,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Ben Cartlidge 28 - 29. Junichiro Kamijo 28 - 29. Ron McCarthy 28 - 29.
0e2c2daf11b5d8f2,760150e9951e65fa,Women's Bantamweight,0,b9706f80d005036c,d3f5d33d61cd00c9,d3f5d33d61cd00c9,win,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 28 - 29. Ron McCarthy 29 - 28. Eric Colon 28 - 29.
eed2b71d77d95416,848e7af760788418,Bantamweight,0,e979c76341f19b22,ba5e253af86db1a8,e979c76341f19b22,win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Grant Waterman,David Lethaby 28 - 29. Maciej Motylewski 28 - 29. Ben Cartlidge 27 - 30.
cc5834a495d1ea08,e08479759c296bb1,Bantamweight,0,e979c76341f19b22,bf7ad5628363eec9,bf7ad5628363eec9,win,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Rick Winter 28 - 29. Chris Lee 29 - 28. Marcos Rosales 27 - 30.
